# Serial Log - 2026-04-11T15:45:25.750008
# Port: COM24 @ 115200bps
#============================================================
[15:45:43.073] -616.00,-1586.00,-1822.00
[15:45:43.112] -690.00,-1618.00,-1752.00
[15:45:43.153] -697.00,-1633.00,-1732.00
[15:45:43.194] -697.00,-1655.00,-1698.00
[15:45:43.233] -665.00,-1676.00,-1677.00
[15:45:43.274] -638.00,-1705.00,-1660.00
[15:45:43.312] -597.00,-1728.00,-1650.00
[15:45:43.353] -533.00,-1763.00,-1628.00
[15:45:43.391] -482.00,-1802.00,-1621.00
[15:45:43.433] -433.00,-1826.00,-1621.00
[15:45:43.472] -377.00,-1861.00,-1623.00
[15:45:43.513] -342.00,-1861.00,-1605.00
[15:45:43.551] -301.00,-1847.00,-1631.00
[15:45:43.593] -293.00,-1878.00,-1611.00
[15:45:43.633] -255.00,-1902.00,-1563.00
[15:45:43.673] -213.00,-1932.00,-1526.00
[15:45:43.712] -178.00,-1923.00,-1466.00
[15:45:43.753] -122.00,-1932.00,-1471.00
[15:45:43.793] -91.00,-1913.00,-1448.00
[15:45:43.832] 10.00,-1902.00,-1412.00
[15:45:43.873] 22.00,-1935.00,-1405.00
[15:45:43.912] 61.00,-1966.00,-1366.00
[15:45:43.953] 103.00,-2013.00,-1345.00
[15:45:43.993] 135.00,-2071.00,-1347.00
[15:45:44.031] 166.00,-2135.00,-1342.00
[15:45:44.073] 171.00,-2198.00,-1322.00
[15:45:44.112] 171.00,-2198.00,-1322.00
[15:45:44.153] 145.00,-2403.00,-1275.00
[15:45:44.192] 117.00,-2483.00,-1228.00
[15:45:44.231] 40.00,-2546.00,-1182.00
[15:45:44.273] -12.00,-2617.00,-1126.00
[15:45:44.313] -81.00,-2693.00,-990.00
[15:45:44.340] -142.00,-2738.00,-837.00
[15:45:44.392] -222.00,-2805.00,-422.00
[15:45:44.431] -232.00,-2878.00,22.00
[15:45:44.471] -188.00,-2805.00,190.00
[15:45:44.513] -122.00,-2760.00,330.00
[15:45:44.554] -120.00,-2773.00,311.00
[15:45:44.593] -86.00,-2781.00,311.00
[15:45:44.631] 2.00,-2797.00,260.00
[15:45:44.674] -27.00,-2817.00,257.00
[15:45:44.701] -86.00,-2871.00,316.00
[15:45:44.752] -142.00,-2926.00,345.00
[15:45:44.791] -101.00,-2928.00,461.00
[15:45:44.833] -52.00,-2912.00,615.00
[15:45:44.873] 78.00,-2876.00,806.00
[15:45:44.912] 237.00,-2833.00,930.00
[15:45:44.951] 296.00,-2765.00,871.00
[15:45:44.993] 267.00,-2807.00,780.00
[15:45:45.033] 276.00,-2797.00,783.00
[15:45:45.073] 270.00,-2797.00,791.00
[15:45:45.111] 265.00,-2800.00,816.00
[15:45:45.151] 211.00,-2821.00,915.00
[15:45:45.193] 222.00,-2838.00,1005.00
[15:45:45.233] 173.00,-2865.00,1095.00
[15:45:45.272] 56.00,-2923.00,1260.00
[15:45:45.312] -91.00,-3007.00,1425.00
[15:45:45.352] -335.00,-3111.00,1567.00
[15:45:45.393] -611.00,-3237.00,1633.00
[15:45:45.432] -938.00,-3456.00,1567.00
[15:45:45.471] -1355.00,-3777.00,1327.00
[15:45:45.512] -1565.00,-3970.00,1113.00
[15:45:45.553] -1792.00,-4300.00,587.00
